base_industry_data	installed	19.0.1.2
developer_hub	installed	19.0.1.1.0
evolution_whatsapp_chat	installed	19.0.1.10.0
integration_bridge_core	installed	19.0.1.0.5
linkedin_connector	installed	19.0.2.7.0
linkedin_nodb_compat	installed	19.0.1.0.0
mail_gmail_connector	installed	19.0.7.1.0
odoo_partners	installed	19.0.1.1.0
odoo_remote_connector	installed	19.0.1.0.0
petget_core	installed	19.0.1.0.0
petget_dog	installed	19.0.1.0.0
petget_dog_knowledge	installed	19.0.1.0.0
pet_management	installed	19.0.1.8.3
petspot_backend_sidebar	installed	19.0.1.1.1
petspot_campaign_rewards	installed	19.0.1.2.0
petspot_clinic_portal	installed	19.0.2.2.1
petspot_vet_feedback	installed	19.0.1.0.0
petspot_wa_intake	installed	19.0.1.0.0
planning_field_service_worksheet	installed	19.0.1.0
pos_stock	installed	19.0.1.0
social_crm	installed	19.0.1.0
social_facebook	installed	19.0.1.0
social_instagram	installed	19.0.1.0
social_linkedin	installed	19.0.0.1
social_media	installed	19.0.0.1
social_media_connector	installed	19.0.1.0.0
social_push_notifications	installed	19.0.1.1
social_sale	installed	19.0.1.0
social_twitter	installed	19.0.1.1
social_youtube	installed	19.0.1.1
veterinary_clinic	installed	19.0.1.3
veterinary_petget_bridge	installed	19.0.2.1.0
veterinary_pet_management_bridge	installed	19.0.1.0.0
